state,region,assumed_authorized_usd,pop_total_1790,pop_enslaved_1790,pop_note
New Hampshire,New England,300000,141885,158,
Massachusetts,New England,4000000,475327,0,includes District of Maine (96540) - part of MA in 1790
Rhode Island,New England,200000,68825,948,
Connecticut,New England,1600000,237946,2764,
New York,Middle,1200000,340120,21324,
New Jersey,Middle,800000,184139,11423,
Pennsylvania,Middle,2200000,434373,3737,
Delaware,Middle,200000,59094,8887,
Maryland,Southern,800000,319728,103036,
Virginia,Southern,3500000,821287,305057,includes Kentucky District (73677 total / 12430 enslaved) - part of VA until 1792
North Carolina,Southern,2400000,393751,100572,
South Carolina,Southern,4000000,249073,107094,
Georgia,Southern,300000,82548,29264,
