state,debt_estimate_1790_usd,basis
New Hampshire,300000,Hamilton estimate (no return from state)
Massachusetts,5226801.29,State return - principal + interest to 1 Nov 1789
Rhode Island,,No return and no estimate
Connecticut,1951173.33,State return - principal + interest to 1 Feb 1789
New York,1167575.25,State return - net of continental securities loaned to state
New Jersey,788680.66,State return - principal unredeemed
Pennsylvania,2200000,Hamilton estimate (no return from state)
Delaware,,No return and no estimate
Maryland,800000,Hamilton estimate (no return from state)
Virginia,3680743.03,State return - domestic + foreign debt
North Carolina,,No return and no estimate
South Carolina,5386232.05,State return - domestic + indents + foreign debt
Georgia,,No return and no estimate
