state,region,assumed_authorized_usd,pop_total_1790,pop_enslaved_1790,pop_note,pop_free_1790,pop_three_fifths,per_capita_total,per_capita_free,share_of_assumption,cf_pop_total_1790,gap_vs_pop_total_1790,cf_pop_free_1790,gap_vs_pop_free_1790,cf_pop_three_fifths,gap_vs_pop_three_fifths,z_score,iqr_outlier
South Carolina,Southern,4000000,249073,107094,,141979,206235.4,16.059548806976267,28.1731805407842,0.18604651162790697,1406232.7998033662,2593767.200196634,980318.9446315664,3019681.0553684337,1255969.0565666617,2744030.9434333383,2.9123802388687663,True
Massachusetts,New England,4000000,475327,0,includes District of Maine (96540) - part of MA in 1790,475327,475327.0,8.415259389851618,8.415259389851618,0.18604651162790697,2683632.5817416366,1316367.4182583634,3281978.7644291664,718021.2355708336,2894730.990657577,1105269.0093424232,0.8412433341568123,False
Connecticut,New England,1600000,237946,2764,,235182,236840.4,6.724214737797651,6.803241744691346,0.07441860465116279,1343411.2480357639,256588.75196423614,1623855.429580016,-23855.42958001606,1442352.8344060755,157647.16559392447,0.38307321588018683,False
North Carolina,Southern,2400000,393751,100572,,293179,353522.2,6.095222615307644,8.186125199963163,0.11162790697674418,2223065.411166105,176934.58883389505,2024305.903465569,375694.096534431,2152942.4337886255,247057.56621137448,0.21265465549132992,False
Pennsylvania,Middle,2200000,434373,3737,,430636,432878.2,5.06477152125017,5.108722912157831,0.10232558139534884,2452411.7826861506,-252411.78268615063,2973401.9047912667,-773401.9047912667,2636218.7309369524,-436218.7309369524,-0.06653483786069064,False
New Jersey,Middle,800000,184139,11423,,172716,179569.8,4.344544067253542,4.631881238565043,0.037209302325581395,1039624.1323748141,-239624.13237481413,1192547.960198238,-392547.960198238,1093576.1382083974,-293576.13820839743,-0.2616726169742705,False
Virginia,Southern,3500000,821287,305057,includes Kentucky District (73677 total / 12430 enslaved) - part of VA until 1792,516230,699264.2,4.261604043409917,6.779923677430602,0.16279069767441862,4636876.407527541,-1136876.4075275408,3564400.7126909867,-64400.71269098669,4258503.6204494545,-758503.6204494545,-0.28414431249581923,False
Georgia,Southern,300000,82548,29264,,53284,70842.4,3.6342491641226924,5.63020794234667,0.013953488372093023,466054.95239615807,-166054.95239615807,367908.7375298346,-67908.73752983462,431428.66012778634,-131428.66012778634,-0.45411927968271326,False
New York,Middle,1200000,340120,21324,,318796,331590.4,3.5281665294601905,3.7641626620158344,0.05581395348837209,1920271.9679335814,-720271.9679335814,2201182.9796854807,-1001182.9796854807,2019378.2534645458,-819378.2534645458,-0.4828612133811402,False
Delaware,Middle,200000,59094,8887,,50207,55539.2,3.38443835245541,3.983508275738443,0.009302325581395349,333636.80957622913,-133636.80957622913,346663.05054351036,-146663.05054351036,338232.50822345313,-138232.50822345313,-0.5218027964895338,False
Rhode Island,New England,200000,68825,948,,67877,68445.8,2.905920813657828,2.946506180296713,0.009302325581395349,388576.7323092695,-188576.7323092695,468668.6693437539,-268668.6693437539,416833.4187629787,-216833.4187629787,-0.6514519084050783,False
Maryland,Southern,800000,319728,103036,,216692,278513.6,2.5021268077866186,3.69187602680302,0.037209302325581395,1805141.4670218397,-1005141.4670218397,1496187.9767437677,-696187.9767437677,1696141.7071607716,-896141.7071607716,-0.7608554934639903,False
New Hampshire,New England,300000,141885,158,,141727,141821.8,2.114388413151496,2.1167455742377954,0.013953488372093023,801063.7074275438,-501063.7074275438,978578.9663668431,-678578.9663668431,863691.6472467179,-563691.6472467179,-0.8659089856438605,False
