state,region,pop_total_1790,pop_enslaved_1790,pop_note,debt_estimate_1790_usd,basis,quota_usd,subscribed_usd,unsubscribed_usd,oversubscribed_usd,remaining_state_debt_usd,remaining_debt_basis,settlement_balance_usd,position,assumed_final_usd,pop_free_1790,pop_three_fifths,estimate_known,quota_vs_estimate_usd,quota_vs_estimate_pct,assumed_interim_usd,assumed_usd,takeup_rate,quota_unused_usd,net_position_usd,quota_pc,assumed_pc,settlement_balance_pc,net_position_pc,remaining_state_debt_pc,quota_pc_free,debt_estimate_1790_usd_2025,quota_usd_2025,subscribed_usd_2025,unsubscribed_usd_2025,oversubscribed_usd_2025,remaining_state_debt_usd_2025,settlement_balance_usd_2025,assumed_final_usd_2025,quota_vs_estimate_usd_2025,assumed_interim_usd_2025,assumed_usd_2025,quota_unused_usd_2025,net_position_usd_2025,quota_pc_2025,assumed_pc_2025,settlement_balance_pc_2025,net_position_pc_2025,remaining_state_debt_pc_2025,cf_pop_total_1790,gap_vs_pop_total_1790,cf_pop_free_1790,gap_vs_pop_free_1790,cf_pop_three_fifths,gap_vs_pop_three_fifths,z_score,iqr_outlier
South Carolina,Southern,249073,107094,,5386232.05,State return - domestic + indents + foreign debt,4000000,4634578.52,0.0,634578.52,1965756.33,b - Jan 1790 return plus interest,1205978,creditor,3999651.73,141979,206235.4,True,-1386232.0499999998,-0.25736582403648944,4000000.0,3999651.73,0.9999129325,348.2700000000186,5205629.73,16.059548806976267,16.058150542210516,4.841865637784906,20.900016179995426,7.892289931064387,28.1731805407842,195520223.415,145200000.0,168235200.27599996,0.0,23035200.276,71356954.779,43777001.4,145187357.799,-50320223.41499999,145200000.0,145187357.799,12642.201000000676,188964359.199,582.9616216932384,582.9108646822417,175.75972265159209,758.6705873338339,286.4901244976372,1406232.7998033662,2593767.200196634,980318.9446315665,3019681.0553684337,1255969.0565666617,2744030.9434333383,2.9123802388687663,True
Massachusetts,New England,475327,0,includes District of Maine (96540) - part of MA in 1790,5226801.29,State return - principal + interest to 1 Nov 1789,4000000,4477013.81,0.0,477013.81,1838540.66,b - Jan 1790 return plus interest,1248801,creditor,3981733.05,475327,475327.0,True,-1226801.29,-0.23471358904482095,4000000.0,3981733.05,0.9954332625,18266.950000000186,5230534.05,8.415259389851618,8.376829109223754,2.6272460853265227,11.004075194550278,3.8679491381722477,8.415259389851618,189732886.827,145200000.0,162515601.30299997,0.0,17315601.303,66739025.95799999,45331476.3,144536909.71499997,-44532886.827,145200000.0,144536909.71499997,663090.2850000067,189868386.015,305.4739158516137,304.07889666482225,95.36903289735277,399.4479295621751,140.4065537156526,2683632.5817416366,1316367.4182583634,3281978.7644291664,718021.2355708336,2894730.990657577,1105269.0093424232,0.8412433341568123,False
Connecticut,New England,237946,2764,,1951173.33,State return - principal + interest to 1 Feb 1789,1600000,1455331.81,144668.19,0.0,458436.52,a - recent official communication,619121,creditor,1600000.0,235182,236840.4,True,-351173.3300000001,-0.17998059147313175,1455331.81,1600000.0,1.0,0.0,2219121.0,6.724214737797651,6.724214737797651,2.6019390954250126,9.326153833222664,1.9266410025804175,6.803241744691346,70827591.879,58079999.99999999,52828544.703,5251455.296999999,0.0,16641245.675999999,22474092.299999997,58079999.99999999,-12747591.879000003,52828544.703,58079999.99999999,0.0,80554092.3,244.08899498205471,244.08899498205471,94.45038916392795,338.5393841459827,69.93706839366915,1343411.2480357639,256588.75196423614,1623855.4295800158,-23855.42958001583,1442352.8344060758,157647.16559392423,0.38307321588018683,False
North Carolina,Southern,393751,100572,,,No return and no estimate,2400000,1666355.57,733644.43,0.0,713192.3,e - NC Comptroller May 1790,-501082,debtor,1793803.85,293179,353522.2,False,,,1666355.57,1793803.85,0.7474182708333333,606196.1499999999,1292721.85,6.095222615307644,4.555680747477467,-1.272585974384827,3.28309477309264,1.811277431676364,8.186125199963163,,87120000.0,60488707.191,26631292.809,0.0,25888880.49,-18189276.599999998,65115079.754999995,,60488707.191,65115079.754999995,22004920.244999994,46925803.155,221.25658093566744,165.37121113343204,-46.19487087016921,119.17634026326282,65.749370769852,2223065.411166105,176934.58883389505,2024305.903465569,375694.096534431,2152942.4337886255,247057.56621137448,0.21265465549132992,False
Pennsylvania,Middle,434373,3737,,2200000.0,Hamilton estimate (no return from state),2200000,675101.33,1524898.67,0.0,500000.0,a - recent official communication,-76709,debtor,777983.48,430636,432878.2,True,0.0,0.0,675101.33,777983.48,0.35362885454545456,1422016.52,701274.48,5.06477152125017,1.7910493515941368,-0.17659707210162695,1.6144522794925098,1.151084436647766,5.108722912157831,79860000.0,79860000.0,24506178.278999995,55353821.72099999,0.0,18150000.0,-2784536.6999999997,28240800.323999997,0.0,24506178.278999995,28240800.323999997,51619199.676,25456263.623999998,183.85120622138115,65.01509146286716,-6.410473717289058,58.6046177455781,41.7843650503139,2452411.7826861506,-252411.78268615063,2973401.9047912667,-773401.9047912667,2636218.7309369524,-436218.7309369524,-0.06653483786069064,False
New Jersey,Middle,184139,11423,,788680.66,State return - principal unredeemed,800000,599703.56,200296.44,0.0,207647.78,a - recent official communication,49030,creditor,695202.7,172716,179569.8,True,11319.339999999967,0.014352247460968508,599703.56,695202.7,0.8690033749999999,104797.30000000005,744232.7,4.344544067253542,3.775423457279555,0.2662662445218015,4.0416897018013564,1.127668663346711,4.631881238565043,28629107.958,29039999.999999996,21769239.228,7270760.772,0.0,7537614.413999999,1779788.9999999998,25235858.009999998,410892.0419999988,21769239.228,25235858.009999998,3804141.9900000016,27015647.009999998,157.70694964130357,137.04787149924783,9.665464676141394,146.71333617538923,40.9343724794856,1039624.1323748141,-239624.13237481413,1192547.960198238,-392547.960198238,1093576.1382083974,-293576.13820839743,-0.2616726169742705,False
Virginia,Southern,821287,305057,includes Kentucky District (73677 total / 12430 enslaved) - part of VA until 1792,3680743.03,State return - domestic + foreign debt,3500000,2552570.88,947429.12,0.0,1172555.25,d - VA House of Delegates committee Nov 1791,-100879,debtor,2934416.0,516230,699264.2,True,-180743.0299999998,-0.04910503898991281,2552570.88,2934416.0,0.8384045714285714,565584.0,2833537.0,4.261604043409917,3.572948311613358,-0.12283038694147114,3.4501179246718867,1.4277046270061502,6.779923677430602,133610971.98899998,127049999.99999999,92658322.94399999,34391677.055999994,0.0,42563755.574999996,-3661907.6999999997,106519300.8,-6560971.988999992,92658322.94399999,106519300.8,20530699.2,102857393.1,154.69622677577996,129.69802371156487,-4.458743045975402,125.23928066558948,51.82567796032325,4636876.407527542,-1136876.4075275417,3564400.7126909867,-64400.71269098669,4258503.6204494545,-758503.6204494545,-0.28414431249581923,False
Georgia,Southern,82548,29264,,,No return and no estimate,300000,300000.0,0.0,0.0,400000.0,f - GA Treasurer Apr 1790,19988,creditor,246030.73,53284,70842.4,False,,,300000.0,246030.73,0.8201024333333333,53969.26999999999,266018.73,3.6342491641226924,2.980456582836653,0.24213790764161458,3.222594490478267,4.84566555216359,5.63020794234667,,10890000.0,10890000.0,0.0,0.0,14519999.999999998,725564.3999999999,8930915.499,,10890000.0,8930915.499,1959084.5009999995,9656479.898999998,131.92324465765373,108.1905739569705,8.789606047390608,116.98018000436107,175.8976595435383,466054.95239615807,-166054.95239615807,367908.7375298346,-67908.73752983462,431428.66012778634,-131428.66012778634,-0.45411927968271326,False
New York,Middle,340120,21324,,1167575.25,State return - net of continental securities loaned to state,1200000,1028238.75,171761.25,0.0,195639.79,a - recent official communication,-2074846,debtor,1183716.69,318796,331590.4,True,32424.75,0.02777101518724382,1028238.75,1183716.69,0.986430575,16283.310000000056,-891129.31,3.5281665294601905,3.48029133835117,-6.100335175820299,-2.6200438374691286,0.5752081324238504,3.7641626620158344,42382981.574999996,43560000.0,37325066.625,6234933.374999999,0.0,7101724.376999999,-75316909.8,42968915.846999995,1177018.4249999998,37325066.625,42968915.846999995,591084.153000002,-32347993.952999998,128.0724450194049,126.33457558214747,-221.44216688227684,-95.10759130012936,20.880055206985766,1920271.9679335814,-720271.9679335814,2201182.9796854807,-1001182.9796854807,2019378.253464546,-819378.253464546,-0.4828612133811402,False
Delaware,Middle,59094,8887,,,No return and no estimate,200000,53305.84,146694.16,0.0,0.0,none,-612428,debtor,59161.65,50207,55539.2,False,,,53305.84,59161.65,0.29580825,140838.35,-553266.35,3.38443835245541,1.001144786272718,-10.36362405658781,-9.362479270315092,0.0,3.983508275738443,,7259999.999999999,1935001.9919999996,5324998.007999999,0.0,0.0,-22231136.4,2147567.895,,1935001.9919999996,2147567.895,5112432.1049999995,-20083568.505,122.85511219413138,36.341555741699665,-376.19955325413747,-339.8579975124378,0.0,333636.8095762292,-133636.8095762292,346663.05054351036,-146663.05054351036,338232.5082234531,-138232.50822345307,-0.5218027964895338,False
