state,region,basis,quota_usd,proportional_usd,gap_usd,quota_usd_2025,gap_usd_2025,quota_m,proportional_m,gap_m
South Carolina,Southern,Total population,4000000,1406232.7998033662,2593767.200196634,145200000.0,94153749.3671378,4.0,1.4062327998033661,2.593767200196634
Massachusetts,New England,Total population,4000000,2683632.5817416366,1316367.4182583634,145200000.0,47784137.28277858,4.0,2.6836325817416364,1.3163674182583633
Connecticut,New England,Total population,1600000,1343411.248035764,256588.75196423611,58079999.99999999,9314171.69630177,1.6,1.343411248035764,0.25658875196423614
North Carolina,Southern,Total population,2400000,2223065.411166105,176934.58883389505,87120000.0,6422725.574670389,2.4,2.223065411166105,0.17693458883389504
Pennsylvania,Middle,Total population,2200000,2452411.7826861506,-252411.78268615063,79860000.0,-9162547.711507266,2.2,2.4524117826861507,-0.2524117826861506
New Jersey,Middle,Total population,800000,1039624.132374814,-239624.13237481413,29039999.999999996,-8698356.005205752,0.8,1.039624132374814,-0.23962413237481414
Virginia,Southern,Total population,3500000,4636876.407527542,-1136876.4075275415,127049999.99999999,-41268613.59324975,3.5,4.6368764075275415,-1.1368764075275415
Georgia,Southern,Total population,300000,466054.95239615807,-166054.95239615807,10890000.0,-6027794.771980537,0.3,0.4660549523961581,-0.16605495239615808
New York,Middle,Total population,1200000,1920271.9679335812,-720271.9679335814,43560000.0,-26145872.435989004,1.2,1.9202719679335811,-0.7202719679335814
Delaware,Middle,Total population,200000,333636.8095762292,-133636.8095762292,7259999.999999999,-4851016.187617119,0.2,0.3336368095762292,-0.1336368095762292
Rhode Island,New England,Total population,200000,388576.7323092695,-188576.7323092695,7259999.999999999,-6845335.382826482,0.2,0.3885767323092695,-0.1885767323092695
Maryland,Southern,Total population,800000,1805141.46702184,-1005141.4670218396,29039999.999999996,-36486635.25289278,0.8,1.80514146702184,-1.0051414670218395
New Hampshire,New England,Total population,300000,801063.7074275438,-501063.7074275438,10890000.0,-18188612.57961984,0.3,0.8010637074275438,-0.5010637074275438
South Carolina,Southern,Free population,4000000,980318.9446315664,3019681.0553684337,145200000.0,109614422.30987413,4.0,0.9803189446315664,3.0196810553684337
Massachusetts,New England,Free population,4000000,3281978.7644291664,718021.2355708336,145200000.0,26064170.851221256,4.0,3.2819787644291663,0.7180212355708335
Connecticut,New England,Free population,1600000,1623855.4295800158,-23855.42958001583,58079999.99999999,-865952.0937545745,1.6,1.6238554295800158,-0.023855429580015828
North Carolina,Southern,Free population,2400000,2024305.903465569,375694.096534431,87120000.0,13637695.704199843,2.4,2.024305903465569,0.375694096534431
Pennsylvania,Middle,Free population,2200000,2973401.9047912667,-773401.9047912667,79860000.0,-28074489.143922977,2.2,2.9734019047912668,-0.7734019047912667
New Jersey,Middle,Free population,800000,1192547.960198238,-392547.960198238,29039999.999999996,-14249490.95519604,0.8,1.192547960198238,-0.392547960198238
Virginia,Southern,Free population,3500000,3564400.7126909867,-64400.71269098669,127049999.99999999,-2337745.870682817,3.5,3.5644007126909867,-0.0644007126909867
Georgia,Southern,Free population,300000,367908.7375298346,-67908.73752983462,10890000.0,-2465087.1723329965,0.3,0.3679087375298346,-0.06790873752983462
New York,Middle,Free population,1200000,2201182.9796854807,-1001182.9796854808,43560000.0,-36342942.16258295,1.2,2.2011829796854805,-1.0011829796854808
Delaware,Middle,Free population,200000,346663.0505435104,-146663.05054351036,7259999.999999999,-5323868.734729425,0.2,0.34666305054351043,-0.14666305054351036
Rhode Island,New England,Free population,200000,468668.669343754,-268668.66934375395,7259999.999999999,-9752672.697178267,0.2,0.468668669343754,-0.26866866934375394
Maryland,Southern,Free population,800000,1496187.9767437675,-696187.9767437677,29039999.999999996,-25271623.555798765,0.8,1.4961879767437676,-0.6961879767437678
New Hampshire,New England,Free population,300000,978578.9663668432,-678578.9663668432,10890000.0,-24632416.479116406,0.3,0.9785789663668432,-0.6785789663668432
South Carolina,Southern,Three-fifths basis,4000000,1255969.0565666617,2744030.9434333383,145200000.0,99608323.24663018,4.0,1.2559690565666617,2.7440309434333385
