state,quota_usd,subscribed_printed_usd,unsubscribed_printed_usd,oversubscribed_printed_usd,unsubscribed_computed_usd,oversubscribed_computed_usd,variance_usd,status,subscribed_reconciled_usd,line_order
New Hampshire,300000,242501.25,57498.75,0.0,57498.75,0.0,0.0,Ties,242501.25,1
Massachusetts,4000000,4447013.81,0.0,477013.81,0.0,447013.8099999996,-30000.000000000407,Does not foot,4447013.81,2
Rhode Island,200000,344259.49,0.0,144259.49,0.0,144259.49,0.0,Ties,344259.49,3
Connecticut,1600000,1455331.81,144668.19,0.0,144668.18999999994,0.0,-5.820766091346741e-11,Ties,1455331.81,4
New York,1200000,1028238.75,171761.25,0.0,171761.25,0.0,0.0,Ties,1028238.75,5
New Jersey,800000,599703.56,200296.44,0.0,200296.43999999994,0.0,-5.820766091346741e-11,Ties,599703.56,6
Pennsylvania,2200000,675101.33,1524898.67,0.0,1524898.67,0.0,0.0,Ties,675101.33,7
Delaware,200000,53305.84,146694.16,0.0,146694.16,0.0,0.0,Ties,53305.84,8
Maryland,800000,299225.4,500744.6,0.0,500774.6,0.0,30.0,Immaterial,299225.4,9
Virginia,3500000,2552570.88,947429.12,0.0,947429.1200000001,0.0,1.1641532182693481e-10,Ties,2552570.88,10
North Carolina,2400000,1166355.57,733644.43,0.0,1233644.43,0.0,499999.9999999999,Does not foot,1666355.57,11
South Carolina,4000000,4634578.52,0.0,634578.52,0.0,634578.5199999996,-4.656612873077393e-10,Ties,4634578.52,12
Georgia,300000,300000.0,0.0,0.0,0.0,0.0,0.0,Ties,300000.0,13
