state,region,step_order,step,usd_1790,usd_2025,per_capita_1790,per_capita_2025
South Carolina,Southern,1,1. Estimate 1790,5386232.05,195520223.415,21.625114123168707,784.991642671024
Massachusetts,New England,1,1. Estimate 1790,5226801.29,189732886.827,10.996222158640263,399.1628643586415
Connecticut,New England,1,1. Estimate 1790,1951173.33,70827591.879,8.200067788489825,297.66246072218064
North Carolina,Southern,1,1. Estimate 1790,,,,
Pennsylvania,Middle,1,1. Estimate 1790,2200000.0,79860000.0,5.06477152125017,183.85120622138115
New Jersey,Middle,1,1. Estimate 1790,788680.66,28629107.958,4.28307235295076,155.47552641211257
Virginia,Southern,1,1. Estimate 1790,3680743.03,133610971.98899998,4.481676965543104,162.68487384921468
Georgia,Southern,1,1. Estimate 1790,,,,
New York,Middle,1,1. Estimate 1790,1167575.25,42382981.574999996,3.432833264730095,124.61184750970244
Delaware,Middle,1,1. Estimate 1790,,,,
Rhode Island,New England,1,1. Estimate 1790,,,,
Maryland,Southern,1,1. Estimate 1790,800000.0,29039999.999999996,2.5021268077866186,90.82720312265424
New Hampshire,New England,1,1. Estimate 1790,300000.0,10890000.0,2.114388413151496,76.7522993973993
South Carolina,Southern,2,2. Quota 1790,4000000.0,145200000.0,16.059548806976267,582.9616216932384
Massachusetts,New England,2,2. Quota 1790,4000000.0,145200000.0,8.415259389851618,305.4739158516137
Connecticut,New England,2,2. Quota 1790,1600000.0,58079999.99999999,6.724214737797651,244.08899498205471
North Carolina,Southern,2,2. Quota 1790,2400000.0,87120000.0,6.095222615307644,221.25658093566744
Pennsylvania,Middle,2,2. Quota 1790,2200000.0,79860000.0,5.06477152125017,183.85120622138115
New Jersey,Middle,2,2. Quota 1790,800000.0,29039999.999999996,4.344544067253542,157.70694964130357
Virginia,Southern,2,2. Quota 1790,3500000.0,127049999.99999999,4.261604043409917,154.69622677577996
Georgia,Southern,2,2. Quota 1790,300000.0,10890000.0,3.6342491641226924,131.92324465765373
New York,Middle,2,2. Quota 1790,1200000.0,43560000.0,3.5281665294601905,128.0724450194049
Delaware,Middle,2,2. Quota 1790,200000.0,7259999.999999999,3.38443835245541,122.85511219413138
Rhode Island,New England,2,2. Quota 1790,200000.0,7259999.999999999,2.905920813657828,105.48492553577914
Maryland,Southern,2,2. Quota 1790,800000.0,29039999.999999996,2.5021268077866186,90.82720312265424
New Hampshire,New England,2,2. Quota 1790,300000.0,10890000.0,2.114388413151496,76.7522993973993
South Carolina,Southern,3,3. Subscribed 1792,4634578.52,168235200.27599996,18.607309985425957,675.4453524709621
Massachusetts,New England,3,3. Subscribed 1792,4477013.81,162515601.30299997,9.418808125774467,341.9027349656131
Connecticut,New England,3,3. Subscribed 1792,1455331.81,52828544.703,6.116227253242332,222.01904929269665
North Carolina,Southern,3,3. Subscribed 1792,1666355.57,60488707.191,4.232003398086608,153.62172335054385
Pennsylvania,Middle,3,3. Subscribed 1792,675101.33,24506178.278999995,1.554197268246415,56.41736083734486
New Jersey,Middle,3,3. Subscribed 1792,599703.56,21769239.228,3.256798179636036,118.2217739207881
Virginia,Southern,3,3. Subscribed 1792,2552570.88,92658322.94399999,3.1080132523709736,112.82088106106633
Georgia,Southern,3,3. Subscribed 1792,300000.0,10890000.0,3.6342491641226924,131.92324465765373
New York,Middle,3,3. Subscribed 1792,1028238.75,37325066.625,3.023164618369987,109.74087564683053
Delaware,Middle,3,3. Subscribed 1792,53305.84,1935001.9919999996,0.9020516465292584,32.74447476901208
Rhode Island,New England,3,3. Subscribed 1792,344259.49,12496619.486999998,5.0019540864511445,181.57093333817653
Maryland,Southern,3,3. Subscribed 1792,299225.4,10861882.02,0.9358748686383427,33.97225773157184
New Hampshire,New England,3,3. Subscribed 1792,242501.25,8802795.375,1.7091394439158474,62.041761814145254
South Carolina,Southern,4,4. Assumed (final),3999651.73,145187357.799,16.058150542210516,582.9108646822417
Massachusetts,New England,4,4. Assumed (final),3981733.05,144536909.71499997,8.376829109223754,304.07889666482225
Connecticut,New England,4,4. Assumed (final),1600000.0,58079999.99999999,6.724214737797651,244.08899498205471
North Carolina,Southern,4,4. Assumed (final),1793803.85,65115079.754999995,4.555680747477467,165.37121113343204
Pennsylvania,Middle,4,4. Assumed (final),777983.48,28240800.323999997,1.7910493515941368,65.01509146286716
New Jersey,Middle,4,4. Assumed (final),695202.7,25235858.009999998,3.775423457279555,137.04787149924783
Virginia,Southern,4,4. Assumed (final),2934416.0,106519300.8,3.572948311613358,129.69802371156487
Georgia,Southern,4,4. Assumed (final),246030.73,8930915.499,2.980456582836653,108.1905739569705
New York,Middle,4,4. Assumed (final),1183716.69,42968915.846999995,3.48029133835117,126.33457558214747
Delaware,Middle,4,4. Assumed (final),59161.65,2147567.895,1.001144786272718,36.341555741699665
Rhode Island,New England,4,4. Assumed (final),200000.0,7259999.999999999,2.905920813657828,105.48492553577914
Maryland,Southern,4,4. Assumed (final),517491.08,18784926.204,1.6185353800730622,58.75283429665215
New Hampshire,New England,4,4. Assumed (final),282595.51,10258217.013,1.9917222398421257,72.29951730626915
South Carolina,Southern,5,5. Settlement 1793,1205978.0,43777001.4,4.841865637784906,175.75972265159209
Massachusetts,New England,5,5. Settlement 1793,1248801.0,45331476.3,2.6272460853265227,95.36903289735277
Connecticut,New England,5,5. Settlement 1793,619121.0,22474092.299999997,2.6019390954250126,94.45038916392795
North Carolina,Southern,5,5. Settlement 1793,-501082.0,-18189276.599999998,-1.272585974384827,-46.19487087016921
Pennsylvania,Middle,5,5. Settlement 1793,-76709.0,-2784536.6999999997,-0.17659707210162695,-6.410473717289058
New Jersey,Middle,5,5. Settlement 1793,49030.0,1779788.9999999998,0.2662662445218015,9.665464676141394
Virginia,Southern,5,5. Settlement 1793,-100879.0,-3661907.6999999997,-0.12283038694147114,-4.458743045975402
Georgia,Southern,5,5. Settlement 1793,19988.0,725564.3999999999,0.24213790764161458,8.789606047390608
New York,Middle,5,5. Settlement 1793,-2074846.0,-75316909.8,-6.100335175820299,-221.44216688227684
Delaware,Middle,5,5. Settlement 1793,-612428.0,-22231136.4,-10.36362405658781,-376.19955325413747
Rhode Island,New England,5,5. Settlement 1793,299611.0,10875879.299999999,4.353229204504177,158.0222201235016
Maryland,Southern,5,5. Settlement 1793,-151640.0,-5504532.0,-0.47427813641595357,-17.216296351899114
New Hampshire,New England,5,5. Settlement 1793,75055.0,2724496.5,0.5289847411636184,19.202146104239347
South Carolina,Southern,6,6. Net (4 + 5),5205629.73,188964359.199,20.900016179995426,758.6705873338339
Massachusetts,New England,6,6. Net (4 + 5),5230534.05,189868386.015,11.004075194550278,399.4479295621751
Connecticut,New England,6,6. Net (4 + 5),2219121.0,80554092.3,9.326153833222664,338.5393841459827
North Carolina,Southern,6,6. Net (4 + 5),1292721.85,46925803.155,3.28309477309264,119.17634026326282
Pennsylvania,Middle,6,6. Net (4 + 5),701274.48,25456263.623999998,1.6144522794925098,58.6046177455781
New Jersey,Middle,6,6. Net (4 + 5),744232.7,27015647.009999998,4.0416897018013564,146.71333617538923
Virginia,Southern,6,6. Net (4 + 5),2833537.0,102857393.1,3.4501179246718867,125.23928066558948
Georgia,Southern,6,6. Net (4 + 5),266018.73,9656479.898999998,3.222594490478267,116.98018000436107
New York,Middle,6,6. Net (4 + 5),-891129.31,-32347993.952999998,-2.6200438374691286,-95.10759130012936
Delaware,Middle,6,6. Net (4 + 5),-553266.35,-20083568.505,-9.362479270315092,-339.8579975124378
Rhode Island,New England,6,6. Net (4 + 5),499611.0,18135879.299999997,7.259150018162005,263.50714565928075
Maryland,Southern,6,6. Net (4 + 5),365851.08,13280394.204,1.1442572436571086,41.536537944753036
New Hampshire,New England,6,6. Net (4 + 5),357650.51,12982713.512999998,2.5207069810057443,91.50166341050851
