state,region,position_1793,pop_total_1790,pop_enslaved_1790,pop_free_1790,pop_share_pct,estimate_1790_usd,estimate_basis,quota_usd,quota_share_pct,quota_vs_estimate_usd,subscribed_1792_usd,assumed_usd,takeup_pct,quota_unused_usd,remaining_state_debt_usd,settlement_usd,net_position_usd,quota_per_capita,assumed_per_capita,settlement_per_capita,net_position_per_capita,quota_per_free_person,quota_z_score,quota_gap_vs_population_usd,settlement_abs_usd,estimate_1790_usd_2025,quota_usd_2025,quota_vs_estimate_usd_2025,subscribed_1792_usd_2025,assumed_usd_2025,quota_unused_usd_2025,remaining_state_debt_usd_2025,settlement_usd_2025,net_position_usd_2025,quota_per_capita_2025,assumed_per_capita_2025,settlement_per_capita_2025,net_position_per_capita_2025,quota_per_free_person_2025,quota_gap_vs_population_usd_2025,settlement_abs_usd_2025,quota_rank
South Carolina,Southern,Creditor,249073,107094,141979,6.540617673504029,5386232.05,State return - domestic + indents + foreign debt,4000000,18.6046511627907,-1386232.0499999998,4634578.52,3999651.73,99.99129325,348.2700000000186,1965756.33,1205978,5205629.73,16.059548806976267,16.058150542210516,4.841865637784906,20.900016179995426,28.1731805407842,2.9123802388687663,2593767.200196634,1205978,195520223.415,145200000.0,-50320223.41499999,168235200.27599996,145187357.799,12642.201000000676,71356954.779,43777001.4,188964359.199,582.9616216932384,582.9108646822417,175.75972265159209,758.6705873338339,1022.6864536304664,94153749.3671378,43777001.4,1
Massachusetts,New England,Creditor,475327,0,475327,12.482012008100636,5226801.29,State return - principal + interest to 1 Nov 1789,4000000,18.6046511627907,-1226801.29,4447013.81,3981733.05,99.54332624999999,18266.950000000183,1838540.66,1248801,5230534.05,8.415259389851618,8.376829109223754,2.6272460853265227,11.004075194550278,8.415259389851618,0.8412433341568123,1316367.4182583634,1248801,189732886.827,145200000.0,-44532886.827,161426601.30299997,144536909.71499997,663090.2850000066,66739025.95799999,45331476.3,189868386.015,305.4739158516137,304.07889666482225,95.36903289735277,399.4479295621751,305.4739158516137,47784137.28277858,45331476.3,2
Connecticut,New England,Creditor,237946,2764,235182,6.248424409468669,1951173.33,State return - principal + interest to 1 Feb 1789,1600000,7.441860465116279,-351173.3300000001,1455331.81,1600000.0,100.0,0.0,458436.52,619121,2219121.0,6.724214737797651,6.724214737797651,2.601939095425013,9.326153833222664,6.803241744691346,0.3830732158801868,256588.75196423611,619121,70827591.879,58079999.99999999,-12747591.879000003,52828544.703,58079999.99999999,0.0,16641245.675999999,22474092.299999997,80554092.3,244.08899498205471,244.08899498205471,94.45038916392797,338.5393841459827,246.95767533229582,9314171.69630177,22474092.299999997,3
North Carolina,Southern,Debtor,393751,100572,293179,10.339839121702814,,No return and no estimate,2400000,11.162790697674419,,1666355.57,1793803.85,74.74182708333333,606196.1499999999,713192.3,-501082,1292721.85,6.095222615307644,4.555680747477467,-1.272585974384827,3.28309477309264,8.186125199963163,0.2126546554913299,176934.58883389505,501082,,87120000.0,,60488707.191,65115079.754999995,22004920.244999994,25888880.49,-18189276.599999998,46925803.155,221.25658093566744,165.37121113343204,-46.19487087016921,119.17634026326282,297.1563447586628,6422725.574670389,18189276.599999998,4
Pennsylvania,Middle,Debtor,434373,3737,430636,11.406566431098375,2200000.0,Hamilton estimate (no return from state),2200000,10.232558139534884,0.0,675101.33,777983.48,35.36288545454545,1422016.52,500000.0,-76709,701274.48,5.06477152125017,1.7910493515941368,-0.1765970721016269,1.6144522794925098,5.108722912157831,-0.0665348378606906,-252411.78268615063,76709,79860000.0,79860000.0,0.0,24506178.278999995,28240800.323999997,51619199.676,18150000.0,-2784536.6999999997,25456263.623999998,183.85120622138115,65.01509146286716,-6.410473717289055,58.6046177455781,185.44664171132925,-9162547.711507266,2784536.6999999997,5
New Jersey,Middle,Creditor,184139,11423,172716,4.835461080813089,788680.66,State return - principal unredeemed,800000,3.7209302325581395,11319.339999999967,599703.56,695202.7,86.90033749999999,104797.30000000005,207647.78,49030,744232.7,4.344544067253542,3.775423457279555,0.2662662445218015,4.0416897018013564,4.631881238565043,-0.2616726169742705,-239624.13237481413,49030,28629107.958,29039999.999999996,410892.0419999988,21769239.228,25235858.009999998,3804141.9900000016,7537614.413999999,1779788.9999999998,27015647.009999998,157.70694964130357,137.04787149924783,9.665464676141394,146.71333617538923,168.13728895991105,-8698356.005205752,1779788.9999999998,6
Virginia,Southern,Debtor,821287,305057,516230,21.566867011756006,3680743.03,State return - domestic + foreign debt,3500000,16.27906976744186,-180743.0299999998,2552570.88,2934416.0,83.84045714285713,565584.0,1172555.25,-100879,2833537.0,4.261604043409917,3.572948311613358,-0.1228303869414711,3.4501179246718867,6.779923677430602,-0.2841443124958192,-1136876.4075275415,100879,133610971.98899998,127049999.99999999,-6560971.988999992,92658322.94399999,106519300.8,20530699.2,42563755.574999996,-3661907.6999999997,102857393.1,154.69622677577996,129.69802371156487,-4.4587430459754005,125.23928066558948,246.11122949073084,-41268613.59324975,3661907.6999999997,7
Georgia,Southern,Creditor,82548,29264,53284,2.1676974530053865,,No return and no estimate,300000,1.3953488372093024,,300000.0,246030.73,82.01024333333334,53969.26999999999,400000.0,19988,266018.73,3.634249164122693,2.980456582836653,0.2421379076416145,3.222594490478267,5.63020794234667,-0.4541192796827132,-166054.95239615807,19988,,10890000.0,,10890000.0,8930915.499,1959084.5009999995,14519999.999999998,725564.3999999999,9656479.898999998,131.92324465765373,108.1905739569705,8.789606047390606,116.98018000436107,204.37654830718412,-6027794.771980537,725564.3999999999,8
New York,Middle,Debtor,340120,21324,318796,8.931497525272473,1167575.25,State return - net of continental securities loaned to state,1200000,5.5813953488372094,32424.75,1028238.75,1183716.69,98.6430575,16283.310000000056,195639.79,-2074846,-891129.31,3.5281665294601905,3.48029133835117,-6.100335175820299,-2.6200438374691286,3.7641626620158335,-0.4828612133811402,-720271.9679335814,2074846,42382981.574999996,43560000.0,1177018.4249999998,37325066.625,42968915.846999995,591084.153000002,7101724.376999999,-75316909.8,-32347993.952999998,128.0724450194049,126.33457558214747,-221.44216688227684,-95.10759130012936,136.63910463117475,-26145872.435989004,75316909.8,9
Delaware,Middle,Debtor,59094,8887,50207,1.5517991143080425,,No return and no estimate,200000,0.9302325581395349,,53305.84,59161.65,29.580825,140838.35,0.0,-612428,-553266.35,3.38443835245541,1.001144786272718,-10.36362405658781,-9.362479270315092,3.983508275738443,-0.5218027964895338,-133636.8095762292,612428,,7259999.999999999,,1935001.9919999996,2147567.895,5112432.1049999995,0.0,-22231136.4,-20083568.505,122.85511219413138,36.341555741699665,-376.19955325413747,-339.8579975124378,144.60135040930547,-4851016.187617119,22231136.4,10
